"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2021","16,179.8","16,264.6","16,270.4","16,148.9","75.60K","-0.46%"
"12/10/2021","16,253.9","16,208.3","16,276.9","16,189.9","89.13K","0.31%"
"12/09/2021","16,204.0","16,284.3","16,292.2","16,186.8","81.55K","-0.48%"
"12/08/2021","16,281.4","16,199.1","16,303.7","16,171.1","142.10K","0.53%"
"12/07/2021","16,194.9","16,295.6","16,297.1","16,142.3","156.12K","-0.58%"
"12/06/2021","16,289.9","16,299.4","16,330.3","16,251.9","93.59K","0.03%"
"12/03/2021","16,285.1","16,248.0","16,318.1","16,180.4","79.10K","0.26%"
"12/02/2021","16,242.3","16,235.7","16,316.3","16,227.8","85.62K","0.07%"
"12/01/2021","16,231.5","16,240.3","16,293.8","16,209.9","117.62K","-0.01%"
"11/30/2021","16,233.2","16,173.7","16,304.0","16,092.0","128.54K","0.42%"
"11/29/2021","16,165.8","16,165.4","16,221.5","16,124.3","85.31K","-0.11%"
"11/26/2021","16,183.3","15,991.7","16,206.9","15,986.7","118.46K","1.24%"
"11/25/2021","15,985.4","15,968.4","16,032.0","15,967.7","77.56K","0.16%"
"11/24/2021","15,959.9","16,036.8","16,053.5","15,947.7","82.05K","-0.44%"
"11/23/2021","16,031.2","16,009.9","16,077.4","15,993.7","94.57K","0.18%"
"11/22/2021","16,002.8","16,077.0","16,088.9","15,999.9","130.47K","-0.41%"
"11/19/2021","16,068.5","16,177.5","16,182.3","16,016.5","65.03K","-0.64%"
"11/18/2021","16,172.4","16,121.1","16,183.2","16,099.7","102.51K","0.34%"
"11/17/2021","16,118.3","16,100.2","16,145.9","16,067.4","84.94K","0.14%"
"11/16/2021","16,095.6","16,156.8","16,189.5","16,083.1","76.09K","-0.35%"
"11/15/2021","16,152.5","16,302.5","16,318.2","16,139.0","68.35K","-0.89%"
"11/12/2021","16,296.8","16,336.3","16,337.7","16,274.7","67.78K","-0.19%"
"11/11/2021","16,327.7","16,364.7","16,423.6","16,319.9","52.84K","-0.17%"
"11/10/2021","16,356.2","16,510.6","16,535.3","16,355.5","77.85K","-0.91%"
"11/09/2021","16,505.6","16,523.0","16,534.8","16,469.6","59.16K","-0.07%"
"11/08/2021","16,517.3","16,555.4","16,579.2","16,466.7","68.55K","-0.31%"
"11/05/2021","16,568.3","16,565.5","16,621.2","16,494.5","73.78K","0.04%"
"11/04/2021","16,561.2","16,601.5","16,627.7","16,512.4","82.08K","-0.21%"
"11/03/2021","16,596.5","16,503.0","16,609.4","16,496.6","85.10K","0.60%"
"11/02/2021","16,497.2","16,538.5","16,564.6","16,496.6","76.35K","-0.20%"
"11/01/2021","16,529.9","16,376.2","16,541.3","16,364.9","88.80K","0.94%"
"10/29/2021","16,376.2","16,552.8","16,568.4","16,341.5","66.88K","-1.05%"
"10/28/2021","16,549.1","16,447.9","16,571.9","16,413.9","76.86K","0.65%"
"10/27/2021","16,442.9","16,411.9","16,477.7","16,402.0","58.90K","0.24%"
"10/26/2021","16,404.1","16,432.6","16,454.4","16,395.0","52.53K","-0.15%"
"10/25/2021","16,428.3","16,443.5","16,550.4","16,408.5","64.22K","-0.11%"
"10/22/2021","16,445.6","16,414.6","16,494.4","16,411.1","59.64K","0.22%"
"10/21/2021","16,408.8","16,398.0","16,484.2","16,394.4","62.73K","0.09%"
"10/20/2021","16,393.6","16,374.7","16,411.3","16,350.8","58.84K","0.15%"
"10/19/2021","16,369.7","16,383.1","16,426.1","16,356.4","54.78K","-0.03%"
"10/18/2021","16,374.5","16,321.6","16,400.8","16,272.4","80.45K","0.34%"
"10/15/2021","16,318.4","16,374.9","16,379.8","16,304.4","77.83K","-0.28%"
"10/14/2021","16,364.9","16,482.3","16,494.4","16,353.0","47.68K","-0.69%"
"10/13/2021","16,478.0","16,389.9","16,489.5","16,388.5","82.05K","0.56%"
"10/12/2021","16,385.6","16,416.8","16,453.4","16,384.2","49.43K","-0.14%"
"10/11/2021","16,408.2","16,466.8","16,473.9","16,407.5","61.92K","-0.24%"
"10/08/2021","16,448.3","16,421.5","16,477.5","16,402.4","55.91K","0.18%"
"10/07/2021","16,418.3","16,470.2","16,481.0","16,416.5","59.01K","-0.30%"
